_id,_importdate,case_t,district,case_f,build_name,location,landa,landa_z,sdate,scnt,trans_target,sbuild,tbuild,buitype,pbuild,mbuild,fdate,farea,build_r,build_l,build_b,build_p,rule,build_c,tprice,uprice,upnote,parktype,parea,pprice,elevator,mb_area,sb_area,pu_area,rmnote,longitude,latitude,metro_in500,metro_in1000,metro_in1500
210,"{'date': '2024-12-18 10:34:28.767323', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,萬華區,房地(土地+建物),,臺北市西園路二段281巷6弄12號四樓,7.26,,1130730,土地:2建物:1車位:,,四層,,公寓(5樓含以下無電梯),工業用,,,26.31,5.0,0.0,5.0,有,無,,1360,51.69,否,,0.0,0,無,,,,建築物含有：頂樓加蓋、其他增建。,121.491646,25.02445699999999,0,0,1
211,"{'date': '2024-12-18 10:34:28.768548', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,大同區,房屋,,臺北市寧夏路11號十一樓之16,0.0,,1131103,土地:建物:1車位:,,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,,,11.95,1.0,0.0,1.0,有,有,有,1,1171.55,否,,0.0,0,,,,,,121.5150107,25.05463669999999,2,10,12
212,"{'date': '2024-12-18 10:34:28.769854', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大安區,房地(土地+建物),,臺北市和平東路一段50巷1弄8號六樓之1,2.23,,1131018,土地:2建物:1車位:,,六層,,華廈(10層含以下有電梯),住家用,,,10.57,1.0,2.0,1.0,有,有,,1538,145.51,否,,0.0,0,有,,,,建築物含有：陽台外推、其他增建。,121.5239345999999,25.02661900000002,2,7,8
213,"{'date': '2024-12-18 10:34:28.771266', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,大同區,房屋,,臺北市保安街78巷4號,0.0,,1131102,土地:建物:車位:,,二層,2.0,透天厝,,,,3.38,9.0,2.0,7.0,有,無,有,1,0.0,-,,0.0,0,,,,,,121.5119925,25.05877290000001,0,8,11
214,"{'date': '2024-12-18 10:34:28.772612', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,松山區,房地(土地+建物),,臺北市八德路三段158巷20弄54號,2.06,,1130924,土地:1建物:1車位:,,一層,,華廈(10層含以下有電梯),商業用,,,11.12,0.0,1.0,1.0,有,無,,1640,147.48,否,,0.0,0,有,,,,建築物含有：其他增建。,121.5540828,25.0473099,1,3,11
215,"{'date': '2024-12-18 10:34:28.774212', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中山區,車位,,臺北市中山北路二段77巷20之1號等共有部分,0.02,,1131101,土地:1建物:1車位:1,,"一層,地下一層,地下二層,地下三層",13.0,,見其他登記事項,鋼筋混凝土造,1120308.0,6.55,,,,無,有,,220,0.0,-,其他1,6.55,220,有,,,,僅車位交易。,121.5247268,25.05742279999998,3,11,15
216,"{'date': '2024-12-18 10:34:28.775735', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,萬華區,房地(土地+建物),,臺北市長泰街59巷15之1號三樓,6.81,,1131013,土地:2建物:1車位:,,三層,,公寓(5樓含以下無電梯),住家用,,,19.48,2.0,1.0,1.0,有,無,,910,46.71,否,,0.0,0,無,,,,建築物含有：陽台外推、其他增建。,121.500538,25.02286950000002,0,0,1
217,"{'date': '2024-12-18 10:34:28.777173', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,士林區,房地(土地+建物),,臺北市小西街45之2號,18.15,,1131014,土地:2建物:1車位:,,"一層,二層,騎樓",,透天厝,住家用,,,26.2,7.0,3.0,3.0,有,無,,1398,0.0,-,,0.0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。建築物含有：頂樓加蓋、其他增建。,121.5234827,25.09021449999998,1,2,3
218,"{'date': '2024-12-18 10:34:28.778488', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,文山區,房地(土地+建物),將捷旅境.-真境,臺北市文山區木柵路二段１６８巷１號,3.76,,1131104,土地:26建物:1車位:0,A棟A5-15F號,十五層,22.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,23.5,2.0,2.0,1.0,有,,,2256,96.0,否,,0.0,0,,13.98,1.61,7.9,雨遮面積登記不計價,121.562478,24.988687,0,0,2
219,"{'date': '2024-12-18 10:34:28.780011', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,北投區,房地(土地+建物)+車位,遠雄商舟,臺北市北投區洲美里福美路與福善路,27.35,,1131105,土地:1建物:1車位:5,A棟A3-12F號,十二層,18.0,辦公商業大樓,商業用,鋼筋混凝土造,,234.73,,,,無,,,14877,69.1,否,坡道平面5,36.01,1145,,107.51,7.82,119.41,,121.5066163,25.100495,0,0,0
220,"{'date': '2024-12-18 10:34:28.781413', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,萬華區,房屋,,臺北市青年路168巷26號二樓之1,0.0,,1131105,土地:建物:1車位:,,二層,5.0,公寓(無電梯),住家用,,,15.27,3.0,1.0,1.0,有,無,有,2,1277.01,否,,0.0,0,,,,,,121.5019529,25.0202724,0,0,0
221,"{'date': '2024-12-18 10:34:28.782741', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,松山區,房地(土地+建物),,臺北市南京東路四段164號十樓之6,1.81,,1131027,土地:2建物:1車位:,,十層,,大樓(11層含以上有電梯),商業用,,,17.67,1.0,1.0,1.0,有,有,,1530,86.59,否,,0.0,0,有,,,,,121.556704,25.051283,2,2,7
222,"{'date': '2024-12-18 10:34:28.784229', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,萬華區,房屋,,臺北市成都路67號八樓之14,0.0,,1131106,土地:建物:1車位:,,八層,12.0,住宅大樓(11層含以上有電梯),住家用,,,8.78,1.0,0.0,1.0,有,有,有,2,1708.43,否,,0.0,0,,,,,,121.5056906,25.04294909999998,2,3,8
223,"{'date': '2024-12-18 10:34:28.785668', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,士林區,房屋,,臺北市承德路四段334號四樓,0.0,,1131105,土地:建物:車位:,,四層,5.0,公寓(無電梯),住家用,,,4.7,5.0,0.0,4.0,有,無,有,1,2574.47,否,,0.0,0,,,,,,121.5176244,25.0899399,0,2,3
224,"{'date': '2024-12-18 10:34:28.786852', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,內湖區,房地(土地+建物)+車位,力麒·寰山,臺北市內湖區麗山里環山路二段23號旁,5.36,,1131024,土地:6建物:1車位:1,0棟A3-11F號,十一層,17.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,50.81,3.0,2.0,2.0,有,,,4828,113.22,否,坡道平面1,11.17,340,,24.0,1.59,25.21,,121.5715037999999,25.08608229999997,0,2,2
225,"{'date': '2024-12-18 10:34:28.788300', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,士林區,房地(土地+建物),,臺北市士東路66號四樓,7.1,,1131116,土地:1建物:1車位:,,四層,,華廈(10層含以下有電梯),住家用,,,37.93,3.0,2.0,2.0,有,無,,3300,87.0,否,,0.0,0,有,,,,建築物含有：陽台外推、其他增建。,121.5283375,25.11190179999999,0,1,2
226,"{'date': '2024-12-18 10:34:28.789764', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,大安區,房地(土地+建物)+車位,吾雙,臺北市大安區信義路四段408號,3.57,,1131007,土地:19建物:1車位:1,B棟B6-31F號,三十一層,31.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,50.39,3.0,2.0,2.0,有,,,8966,214.0,否,坡道平面1,10.83,500,,22.88,3.05,24.47,雨遮計坪不計價,121.5570157,25.03288339999999,1,3,9
227,"{'date': '2024-12-18 10:34:28.791209', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中正區,房地(土地+建物)+車位,,臺北市愛國西路30號三樓,12.13,,1130510,土地:3建物:1車位:6,,三層,,大樓(11層含以上有電梯),住家用,,,120.06,4.0,2.0,2.0,有,有,,16880,140.6,是,坡道機械6,34.54,0,有,,,,車位位於地下五層。,121.5103249,25.03534919999998,1,6,9
228,"{'date': '2024-12-18 10:34:28.792718', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,北投區,房地(土地+建物)+車位,,臺北市溫泉路68巷6弄8號十一樓之1,7.73,,1131015,土地:1建物:1車位:2,,十一層,,大樓(11層含以上有電梯),住家用,,,58.13,2.0,1.0,2.0,有,有,,3147,72.18,否,坡道平面2,22.29,560,有,,,,,121.5055991,25.1347687,1,1,2
229,"{'date': '2024-12-18 10:34:28.794191', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大同區,房地(土地+建物),,臺北市重慶北路二段97巷17號二樓,1.69,,1130824,土地:1建物:1車位:,,二層,,華廈(10層含以下有電梯),商業用,,,13.03,2.0,0.0,1.0,有,無,,1098,84.27,否,,0.0,0,有,,,,建築物含有：陽台外推、其他增建。,121.514513,25.05680069999998,0,9,12
230,"{'date': '2024-12-18 10:34:28.795597', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,大安區,房屋,,臺北市通化街123巷3號,0.0,,1131027,土地:建物:1車位:,,二層,4.0,公寓(無電梯),住家用,,,11.58,1.0,0.0,1.0,有,無,有,3,2417.96,否,,0.0,0,,,,,,121.55434,25.02928069999999,1,2,9
231,"{'date': '2024-12-18 10:34:28.796921', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,大安區,房屋,,臺北市杭州南路二段61巷2號二樓,8.53,,1131102,土地:1建物:1車位:,,二層,6.0,華廈(10層含以下有電梯),住家用,,,37.84,2.0,2.0,2.0,有,有,有,5,1402.77,否,,0.0,0,,,,,租金：含下列其他衍生費用：網路費、其他-第四台。。,121.5224975,25.03022219999999,4,6,10
232,"{'date': '2024-12-18 10:34:28.798316', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大安區,房地(土地+建物)+車位,,臺北市和平東路一段250號四樓之1,5.36,,1130124,土地:2建物:1車位:1,,四層,,大樓(11層含以上有電梯),住家用,,,57.48,,,,無,有,,8115,141.18,是,塔式車位1,3.62,0,有,,,,,121.5330105,25.02598299999999,0,4,12
233,"{'date': '2024-12-18 10:34:28.799857', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,內湖區,房地(土地+建物)+車位,力麒·寰山,臺北市內湖區麗山里環山路二段23號旁,3.64,,1131023,土地:6建物:1車位:1,0棟A5-9F號,九層,17.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,38.09,2.0,2.0,1.0,有,,,3292,111.89,否,坡道平面1,11.17,280,,14.82,2.56,20.71,,121.5715037999999,25.08608229999997,0,2,2
234,"{'date': '2024-12-18 10:34:28.801599', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中山區,房地(土地+建物),,臺北市龍江路370巷26號三樓,8.32,,1131022,土地:1建物:1車位:,,三層,,公寓(5樓含以下無電梯),住家用,,,40.34,3.0,2.0,2.0,有,無,,2000,49.58,否,,0.0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,121.5394941,25.06636989999997,0,2,4
235,"{'date': '2024-12-18 10:34:28.803159', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,內湖區,房地(土地+建物),,臺北市東湖路113巷49弄124號二樓,10.32,,1131025,土地:1建物:1車位:,,二層,,公寓(5樓含以下無電梯),住家用,,,36.41,3.0,2.0,2.0,有,無,,800,21.97,否,,0.0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,121.6149817,25.07094499999998,0,2,3
236,"{'date': '2024-12-18 10:34:28.804728', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,士林區,房地(土地+建物),,臺北市士東路89巷13號六樓之2,3.65,,1131202,土地:1建物:1車位:,,六層,,華廈(10層含以下有電梯),住家用,,,13.48,,,,無,有,,1105,81.97,否,,0.0,0,有,,,,,121.5284873,25.11259910000001,0,1,2
237,"{'date': '2024-12-18 10:34:28.806318', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中山區,房屋,,臺北市松江路305號四樓,0.0,,1130910,土地:建物:車位:,,四層,4.0,公寓(無電梯),住家用,,,5.81,5.0,0.0,5.0,有,無,有,1,2237.52,否,,0.0,0,,,,,租金：含下列其他衍生費用：水費、網路費。租賃標的：租賃建物部分範圍，且未計入共有部分面積。,121.5334722,25.06142489999998,1,4,13
238,"{'date': '2024-12-18 10:34:28.807774', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,萬華區,建物,,臺北市成都路67號九樓之13,0.0,,1131021,土地:0建物:1車位:,,九層,,大樓(11層含以上有電梯),住家用,,,8.57,1.0,1.0,1.0,有,有,,410,47.84,-,,0.0,0,有,,,,,121.5056906,25.04294909999998,2,3,8
239,"{'date': '2024-12-18 10:34:28.809198', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中山區,房屋,,臺北市錦州街16號六樓,0.0,,1131106,土地:建物:1車位:,,六層,10.0,華廈(10層含以下有電梯),住家用,,,27.87,2.0,2.0,1.0,有,有,有,4,1259.42,否,,0.0,0,,,,,,121.5239856,25.06024239999998,2,9,13
240,"{'date': '2024-12-18 10:34:28.810652', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,北投區,房屋,,臺北市中山路47號二樓之5,0.0,,1131107,土地:建物:1車位:,,二層,12.0,住宅大樓(11層含以上有電梯),住家用,,,9.81,1.0,0.0,1.0,有,有,有,1,764.53,否,,0.0,0,,,,,其他：續租案件。,121.5116337,25.1385722,0,1,1
241,"{'date': '2024-12-18 10:34:28.812121', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中正區,房地(土地+建物),,臺北市羅斯福路一段36號三樓之1,2.28,,1130908,土地:2建物:2車位:,,三層,,大樓(11層含以上有電梯),商業用,,,17.09,3.0,1.0,1.0,有,有,,2025,118.49,否,,0.0,0,有,,,,,121.5190827,25.0312314,2,5,9
242,"{'date': '2024-12-18 10:34:28.813580', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,北投區,房地(土地+建物)+車位,,臺北市石牌路二段315巷34弄36號七樓,3.14,,1130707,土地:1建物:1車位:1,,七層,,華廈(10層含以下有電梯),住家用,,,17.71,0.0,1.0,1.0,有,有,,1360,94.78,否,塔式車位1,5.26,180,有,,,,建築物含有：陽台外推、夾層、其他增建。,121.5234029,25.12304890000001,0,0,1
243,"{'date': '2024-12-18 10:34:28.815094', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,北投區,房屋,,臺北市中和街497號四樓,0.0,,1131104,土地:建物:1車位:,,四層,5.0,公寓(無電梯),住家用,,,29.97,2.0,1.0,1.0,有,無,有,2,550.55,否,,0.0,0,,,,,,121.4949274,25.1451539,0,0,2
244,"{'date': '2024-12-18 10:34:28.816445', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中山區,房地(土地+建物),,臺北市錦州街426巷1弄21號三樓,9.26,,1130907,土地:2建物:1車位:,,三層,,公寓(5樓含以下無電梯),住家用,,,31.8,3.0,2.0,2.0,有,無,,2605,81.92,否,,0.0,0,無,,,,建築物含有：陽台外推。,121.543384,25.05991480000001,1,5,9
245,"{'date': '2024-12-18 10:34:28.817700', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,文山區,房屋+車位,,臺北市政大二街260巷47號二樓,0.0,,1131031,土地:建物:1車位:1,,二層,5.0,華廈(10層含以下有電梯),住家用,,,21.8,1.0,1.0,1.0,有,有,無,2,917.43,是,坡道平面1,4.86,0,,,,,租金：含下列其他衍生費用：管理費。,121.5869377,24.98750239999999,0,0,1
246,"{'date': '2024-12-18 10:34:28.819267', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大安區,房地(土地+建物),,臺北市和平東路三段1巷36號八樓,4.86,,1131028,土地:1建物:1車位:,,八層,,大樓(11層含以上有電梯),住家用,,,24.99,2.0,1.0,1.0,有,有,,2300,92.04,否,,0.0,0,有,,,,,121.5466709,25.026143,1,6,8
247,"{'date': '2024-12-18 10:34:28.820738', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大同區,房地(土地+建物)+車位,,臺北市延平北路二段200巷25號五樓,7.6,,1130911,土地:1建物:1車位:1,,五層,,大樓(11層含以上有電梯),商業用,,,61.97,4.0,2.0,2.0,有,有,,3950,63.74,是,塔式車位1,0.0,0,有,,,,建築物含有：陽台外推。,121.5111379999999,25.05845700000001,0,4,11
248,"{'date': '2024-12-18 10:34:28.822185', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,內湖區,房地(土地+建物)+車位,力麒·寰山,臺北市內湖區麗山里環山路二段23號旁,3.64,,1131023,土地:6建物:1車位:1,0棟A5-6F號,六層,17.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,38.09,2.0,2.0,1.0,有,,,3205,108.28,否,坡道平面1,11.17,290,,14.82,2.56,20.71,,121.5715037999999,25.08608229999997,0,2,2
249,"{'date': '2024-12-18 10:34:28.823889', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,北投區,房屋,,臺北市泉源路49之7號六樓,0.0,,1131107,土地:建物:1車位:,,六層,7.0,華廈(10層含以下有電梯),住家用,,,17.41,1.0,0.0,1.0,有,有,有,2,1033.89,否,,0.0,0,,,,,,121.5110442,25.14134890000001,0,1,1
250,"{'date': '2024-12-18 10:34:28.825085', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中正區,房屋,,臺北市重慶南路三段135號四樓,0.0,,1131101,土地:建物:1車位:,,四層,4.0,公寓(無電梯),見其他登記事項,,,29.66,3.0,2.0,2.0,有,無,有,1,438.3,否,,0.0,0,,,,,,121.5170577,25.0237441,0,4,7
251,"{'date': '2024-12-18 10:34:28.826414', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中正區,房地(土地+建物),,臺北市開封街一段2號五樓之5,2.94,,1130906,土地:1建物:2車位:,,五層,,大樓(11層含以上有電梯),商業用,,,28.31,3.0,2.0,1.0,有,有,,2080,73.47,否,,0.0,0,有,,,,建築物含有：陽台外推。,121.5145591,25.04582070000001,2,9,13
252,"{'date': '2024-12-18 10:34:28.827757', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,士林區,土地,,臺北市至善段七小段0021-0000地號,135.01,,1131004,土地:1建物:0車位:,,,,,,,,0.0,,,,無,無,,465,3.44,-,,0.0,0,無,,,,與政府有關之交易：政府機關標讓售。,121.5654268,25.0329636,2,3,6
253,"{'date': '2024-12-18 10:34:28.829189', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,信義區,房屋,,臺北市永吉路53號四樓之6,0.0,,1131105,土地:建物:1車位:,,四層,14.0,住宅大樓(11層含以上有電梯),住家用,,,11.79,1.0,0.0,1.0,有,有,有,2,1696.35,否,,0.0,0,,,,,其他：此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。。,121.5690978,25.0459032,0,2,6
254,"{'date': '2024-12-18 10:34:28.830651', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大同區,土地,,臺北市橋北段三小段0359-0001地號,1.21,,1131115,土地:1建物:0車位:,,,,,,,,0.0,,,,無,無,,177,146.28,-,,0.0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。,121.5654177,25.03296939999999,2,3,6
255,"{'date': '2024-12-18 10:34:28.832208', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中山區,房屋,,臺北市合江街36巷34號一樓,0.0,,1131104,土地:建物:車位:,,一層,5.0,公寓(無電梯),住家用,,,5.45,5.0,1.0,4.0,有,無,有,1,2660.55,否,,0.0,0,,,,,其他：續租案件。,121.5380946,25.05538870000002,0,7,9
256,"{'date': '2024-12-18 10:34:28.833529', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,文山區,房地(土地+建物)+車位,,臺北市秀明路二段115巷7號十七樓,22.47,,1130831,土地:6建物:1車位:1,,十七層,,大樓(11層含以上有電梯),住家用,,,44.98,3.0,2.0,2.0,有,有,,2700,60.03,是,坡道機械1,0.0,0,有,,,,,121.5775599,24.99124599999998,0,1,2
257,"{'date': '2024-12-18 10:34:28.834921', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大安區,房地(土地+建物),,臺北市復興南路二段35號十二樓之2,2.63,,1130913,土地:1建物:1車位:,,十二層,,大樓(11層含以上有電梯),住家用,,,23.12,2.0,3.0,2.0,有,有,,2920,126.3,否,,0.0,0,有,,,,建築物含有：陽台外推、頂樓加蓋、其他增建。,121.5438991,25.03166820000001,4,7,15
258,"{'date': '2024-12-18 10:34:28.836268', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,內湖區,房地(土地+建物),,臺北市港墘路44號四樓,13.74,,1130723,土地:2建物:1車位:,,四層,,公寓(5樓含以下無電梯),住家用,,,37.19,3.0,2.0,2.0,有,無,,2100,56.47,否,,0.0,0,無,,,,,121.5780931,25.08211669999999,0,3,3
259,"{'date': '2024-12-18 10:34:28.837577', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大安區,房地(土地+建物)+車位,,臺北市和平東路一段250號四樓,4.5,,1130124,土地:2建物:1車位:1,,四層,,大樓(11層含以上有電梯),住家用,,,51.4,0.0,0.0,2.0,有,有,,7226,140.58,是,塔式車位1,3.62,0,有,,,,,121.5330105,25.02598299999999,0,4,12
260,"{'date': '2024-12-18 10:34:28.839005', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,北投區,房地(土地+建物)+車位,遠雄商舟,臺北市北投區洲美里福美路與福善路,28.13,,1131105,土地:1建物:1車位:5,A棟A2-13F號,十三層,18.0,辦公商業大樓,商業用,鋼筋混凝土造,,240.4,,,,無,,,15332,69.02,否,坡道平面5,36.01,1225,,111.39,7.22,121.79,,121.5066163,25.100495,0,0,0
261,"{'date': '2024-12-18 10:34:28.840505', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中正區,房屋,,臺北市忠孝西路一段7號十樓之6,0.0,,1131101,土地:建物:1車位:,,十層,11.0,辦公商業大樓,商業用,,,10.78,1.0,0.0,1.0,有,有,有,1,1298.7,否,,0.0,0,,,,,,121.5193184,25.046382,3,9,13
262,"{'date': '2024-12-18 10:34:28.842468', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中正區,房地(土地+建物)+車位,,臺北市重慶南路三段35號十六樓,14.8,,1130916,土地:2建物:1車位:2,,十六層,,大樓(11層含以上有電梯),見其他登記事項,,,94.91,3.0,2.0,2.0,有,有,,11498,151.07,否,坡道平面2,23.7,740,有,,,,,121.5164772,25.02767259999998,0,5,9
263,"{'date': '2024-12-18 10:34:28.843810', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,士林區,房地(土地+建物)+車位,,臺北市中山北路六段441巷30號六樓之2,13.16,,1131023,土地:1建物:1車位:3,,六層,,大樓(11層含以上有電梯),見其他登記事項,,,101.85,,,,無,有,,9938,126.99,否,坡道平面3,31.86,1050,有,,,,特殊交易情況、條件：毛胚屋。,121.5269592,25.11708959999998,0,0,2
264,"{'date': '2024-12-18 10:34:28.845467', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,萬華區,房地(土地+建物),,臺北市和平西路三段102號三樓,14.67,,1130514,土地:1建物:1車位:,,"三層,四層",,公寓(5樓含以下無電梯),,,,48.44,7.0,4.0,2.0,有,無,,4300,88.77,否,,0.0,0,無,,,,建築物含有：頂樓加蓋、其他增建。,121.5007906,25.03507680000002,1,1,4
265,"{'date': '2024-12-18 10:34:28.846921', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,信義區,房地(土地+建物),詠綸朔望,臺北市信義區基隆路1段117號,1.6,,1131017,土地:2建物:1車位:,0棟C-8F號,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,18.9,2.0,1.0,1.0,有,,,2548,134.81,否,,0.0,0,,10.57,1.89,6.43,,121.5669569,25.0448734,1,3,7
266,"{'date': '2024-12-18 10:34:28.848308', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,信義區,房地(土地+建物),,臺北市松隆路58號,2.02,,1131120,土地:2建物:1車位:,,"一層,二層,陽臺,平台,騎樓",,透天厝,商業用,,,2.67,,,,無,無,,300,0.0,-,,0.0,0,無,,,,特殊交易標的類型：市場攤位。土地增值稅及地價稅合計金額841485元，雙方約定由買方負擔,121.5683216,25.04391869999999,1,2,7
267,"{'date': '2024-12-18 10:34:28.849724', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,信義區,房地(土地+建物),,臺北市永吉路180巷70弄6號三樓,8.85,,1130927,土地:1建物:1車位:,,"三層,陽臺",,公寓(5樓含以下無電梯),住家用,,,25.55,3.0,2.0,1.0,有,無,,2108,82.5,否,,0.0,0,無,,,,建築物含有：陽台外推、其他增建。,121.571177,25.04317020000001,1,2,7
268,"{'date': '2024-12-18 10:34:28.851007', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中山區,房地(土地+建物),,臺北市德惠街45號五樓之19,0.12,,1131106,土地:1建物:1車位:,,五層,,華廈(10層含以下有電梯),住家用,,,0.97,,,,無,有,,58,59.79,否,,0.0,0,有,,,,,121.5269965999999,25.06676360000002,1,5,8
269,"{'date': '2024-12-18 10:34:28.852374', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,士林區,土地,,臺北市富安段三小段0312-0000地號,20.42,,1131119,土地:5建物:0車位:,,,,,,,,0.0,,,,無,無,,551,26.98,-,,0.0,0,無,,,,,121.5432074,25.02469600000002,1,5,8
270,"{'date': '2024-12-18 10:34:28.853528', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,信義區,房地(土地+建物),詠綸朔望,臺北市信義區基隆路1段117號,1.6,,1131017,土地:2建物:1車位:,0棟C-6F號,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,18.9,2.0,1.0,1.0,有,,,2436,128.89,否,,0.0,0,,10.57,1.89,6.43,,121.5669569,25.0448734,1,3,7
271,"{'date': '2024-12-18 10:34:28.854993', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,內湖區,房地(土地+建物),,臺北市新明路460巷19弄12號三樓,7.64,,1131022,土地:1建物:1車位:,,"三層,陽台",,公寓(5樓含以下無電梯),住家用,,,26.48,3.0,2.0,1.0,有,無,,1115,42.11,否,,0.0,0,無,,,,,121.5788845,25.05492920000001,1,1,3
272,"{'date': '2024-12-18 10:34:28.856375', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,萬華區,土地,,臺北市莒光段三小段0148-0000地號,8.77,,1130910,土地:1建物:0車位:,,,,,,,,0.0,,,,無,無,,1122,127.94,-,,0.0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。,121.5361035,25.00065119999999,1,2,3
273,"{'date': '2024-12-18 10:34:28.857529', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,中正區,房地(土地+建物),南陽龍踞,臺北市中正區黎明里里南陽街,2.1,,1130918,土地:8建物:1車位:,0棟C號,十一層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,21.05,2.0,1.0,1.0,有,,,3176,150.88,否,,0.0,0,,12.07,1.0,7.98,,121.5155891,25.04447419999999,3,7,14
