case_t,district,case_f,landa,scnt,sbuild,buitype,pbuild,farea,build_r,build_l,build_b,build_p,rule,tprice,upnote,parktype,parea,elevator,metro_in500,metro_in1000,metro_in1500
預售屋,內湖區,房地(土地+建物)+車位,5.14,土地:6建物:1車位:1,六層,住宅大樓(11層含以上有電梯),住家用,49.2,3.0,2.0,2.0,有,,4483,否,坡道平面1,11.17,,0,2,2
預售屋,大安區,房地(土地+建物)+車位,5.46,土地:19建物:1車位:1,三十層,住宅大樓(11層含以上有電梯),住家用,69.8,3.0,2.0,2.0,有,,13413,否,坡道平面1,10.83,,1,3,9
預售屋,萬華區,房地(土地+建物)+車位,3.51,土地:34建物:1車位:1,六層,住宅大樓(11層含以上有電梯),見其他登記事項,38.59,2.0,2.0,2.0,有,,2400,否,坡道平面1,13.66,,0,1,1
買賣,萬華區,房地(土地+建物)+車位,4.42,土地:1建物:1車位:1,八層,大樓(11層含以上有電梯),住家用,52.71,3.0,2.0,1.0,有,有,709,是,坡道平面1,0.0,有,1,3,4
預售屋,內湖區,房地(土地+建物)+車位,3.64,土地:6建物:1車位:1,七層,住宅大樓(11層含以上有電梯),住家用,38.09,2.0,2.0,1.0,有,,3197,否,坡道平面1,11.17,,0,2,2
買賣,松山區,房地(土地+建物),8.27,土地:1建物:1車位:,三層,華廈(10層含以下有電梯),住家用,42.5,3.0,2.0,2.0,有,有,3690,否,,0.0,有,1,5,10
買賣,萬華區,房地(土地+建物),13.46,土地:1建物:1車位:,三層,公寓(5樓含以下無電梯),,32.62,4.0,2.0,2.0,有,無,1920,否,,0.0,無,0,1,2
買賣,士林區,房地(土地+建物),9.91,土地:1建物:1車位:,四層,公寓(5樓含以下無電梯),住家用,22.12,2.0,2.0,1.0,有,無,1388,否,,0.0,無,1,2,3
買賣,內湖區,車位,3.31,土地:1建物:1車位:1,"一層,平台,地下層",,見使用執照,12.23,,,,無,無,194,-,坡道平面1,0.0,無,0,1,1
預售屋,信義區,房地(土地+建物)+車位,3.97,土地:11建物:1車位:1,十層,住宅大樓(11層含以上有電梯),住家用,37.71,2.0,2.0,1.0,有,,5233,否,坡道平面1,10.3,,1,3,7
