case_t,district,case_f,landa,scnt,sbuild,buitype,pbuild,farea,build_r,build_l,build_b,build_p,rule,tprice,upnote,parktype,parea,elevator,metro_in500,metro_in1000,metro_in1500
買賣,萬華區,房地(土地+建物),5.86,土地:1建物:1車位:,十層,華廈(10層含以下有電梯),住家用,30.55,3.0,2.0,2.0,有,有,600,否,,0.0,有,0,0,4
預售屋,內湖區,房地(土地+建物)+車位,4.91,土地:6建物:1車位:1,八層,住宅大樓(11層含以上有電梯),住家用,47.53,3.0,2.0,2.0,有,,4280,否,坡道平面1,11.17,,0,2,2
預售屋,大安區,房地(土地+建物),1.94,土地:1建物:1車位:,三層,住宅大樓(11層含以上有電梯),住家用,11.4,1.0,0.0,1.0,有,,1545,否,,0.0,,3,5,16
買賣,士林區,房地(土地+建物),10.81,土地:3建物:1車位:,二層,公寓(5樓含以下無電梯),住家用,24.12,3.0,1.0,1.0,有,無,1450,否,,0.0,無,0,0,1
買賣,萬華區,房地(土地+建物),14.67,土地:1建物:1車位:,"一層,二層,騎樓",公寓(5樓含以下無電梯),,48.44,0.0,2.0,2.0,有,無,5060,否,,0.0,無,1,1,4
預售屋,士林區,房地(土地+建物)+車位,6.62,土地:22建物:1車位:1,二層,住宅大樓(11層含以上有電梯),住家用,64.25,,,,無,,6995,否,坡道平面1,11.01,,1,2,3
買賣,士林區,房地(土地+建物),6.75,土地:1建物:2車位:,"一層,二層,三層,四層,屋頂突出物",華廈(10層含以下有電梯),住家用,55.22,4.0,1.0,4.0,有,有,3600,否,,0.0,有,0,0,2
買賣,文山區,房地(土地+建物),12.13,土地:2建物:1車位:,六層,大樓(11層含以上有電梯),住家用,22.18,1.0,2.0,1.0,有,有,1330,否,,0.0,有,0,2,3
買賣,大安區,房地(土地+建物)+車位,14.38,土地:1建物:1車位:1,"一層,二層",華廈(10層含以下有電梯),商業用,67.87,0.0,2.0,1.0,有,有,10500,是,升降平面1,0.0,有,0,6,16
買賣,大同區,房地(土地+建物)+車位,3.89,土地:1建物:1車位:1,十四層,大樓(11層含以上有電梯),見其他登記事項,49.1,3.0,2.0,2.0,有,有,3602,否,坡道平面1,12.82,有,0,5,13
預售屋,大安區,房地(土地+建物)+車位,2.54,土地:2建物:1車位:1,十三層,住宅大樓(11層含以上有電梯),住家用,30.08,,,,無,,3885,否,其他1,6.88,,1,2,8
買賣,大同區,房地(土地+建物),1.03,土地:2建物:1車位:,十二層,大樓(11層含以上有電梯),見其他登記事項,11.9,1.0,0.0,1.0,有,有,1528,否,,0.0,有,3,5,10
預售屋,北投區,房地(土地+建物)+車位,24.43,土地:1建物:1車位:5,十二層,辦公商業大樓,商業用,213.49,,,,無,,13463,否,坡道平面5,36.01,,0,0,0
買賣,萬華區,房地(土地+建物),7.26,土地:1建物:1車位:,三層,公寓(5樓含以下無電梯),住家用,18.82,2.0,1.0,1.0,有,無,950,否,,0.0,無,1,1,4
買賣,士林區,房地(土地+建物),6.22,土地:1建物:1車位:,七層,華廈(10層含以下有電梯),住家用,32.85,5.0,3.0,3.0,有,有,2080,否,,0.0,有,0,0,0
買賣,內湖區,房地(土地+建物)+車位,12.3,土地:1建物:1車位:2,八層,大樓(11層含以上有電梯),住家用,80.51,2.0,2.0,2.0,有,有,4600,否,坡道平面2,9.08,有,0,1,2
預售屋,大安區,房地(土地+建物)+車位,2.82,土地:8建物:1車位:1,二十三層,住宅大樓(11層含以上有電梯),住家用,44.82,2.0,2.0,2.0,有,,7036,否,坡道平面1,11.94,,4,11,17
買賣,南港區,車位,0.66,土地:1建物:1車位:1,"一層,地下一層,地下二層,地下三層",,見其他登記事項,12.26,,,,無,有,150,-,坡道平面1,12.26,有,2,3,6
買賣,士林區,房地(土地+建物),5.48,土地:1建物:1車位:,二層,公寓(5樓含以下無電梯),住家用,23.22,2.0,1.0,1.0,有,無,1123,否,,0.0,無,1,2,3
預售屋,信義區,房地(土地+建物),2.48,土地:15建物:1車位:,五層,住宅大樓(11層含以上有電梯),住家用,23.11,2.0,2.0,1.0,有,,3391,否,,0.0,,0,2,5
買賣,萬華區,房地(土地+建物),0.7,土地:11建物:1車位:,十層,大樓(11層含以上有電梯),見使用執照,5.9,0.0,1.0,1.0,有,有,475,否,,0.0,有,2,5,10
預售屋,大安區,房地(土地+建物)+車位,3.74,土地:2建物:1車位:1,十五層,住宅大樓(11層含以上有電梯),住家用,41.14,,,,無,,5580,否,其他1,6.88,,1,2,8
買賣,大安區,房地(土地+建物)+車位,4.53,土地:2建物:1車位:1,二層,大樓(11層含以上有電梯),住家用,51.26,,,,無,有,7205,是,塔式車位1,3.62,有,0,4,12
買賣,北投區,房地(土地+建物),2.56,土地:1建物:1車位:,九層,華廈(10層含以下有電梯),住家用,15.75,1.0,1.0,1.0,有,有,888,否,,0.0,有,1,1,2
買賣,北投區,房地(土地+建物),2.71,土地:1建物:1車位:,十三層,大樓(11層含以上有電梯),見其他登記事項,23.84,2.0,2.0,1.0,有,有,2268,否,,0.0,有,1,1,2
買賣,內湖區,房地(土地+建物),9.3,土地:1建物:1車位:,四層,公寓(5樓含以下無電梯),住家用,25.77,3.0,1.0,1.0,有,無,1000,否,,0.0,無,0,1,3
買賣,內湖區,房地(土地+建物),7.58,土地:1建物:1車位:,二層,公寓(5樓含以下無電梯),住家用,26.14,3.0,1.0,2.0,有,無,1322,否,,0.0,無,0,0,1
預售屋,萬華區,房地(土地+建物)+車位,3.51,土地:34建物:1車位:1,三層,住宅大樓(11層含以上有電梯),見其他登記事項,38.59,2.0,2.0,2.0,有,,2243,否,坡道平面1,13.66,,0,1,1
買賣,士林區,房地(土地+建物)+車位,7.11,土地:1建物:1車位:1,十層,大樓(11層含以上有電梯),見其他登記事項,46.67,3.0,2.0,2.0,有,有,4380,否,其他1,3.97,有,0,0,0
買賣,信義區,房地(土地+建物)+車位,4.27,土地:1建物:1車位:1,八層,大樓(11層含以上有電梯),住家用,31.25,2.0,1.0,1.0,有,有,2910,否,坡道機械1,4.94,有,1,2,4
買賣,信義區,房地(土地+建物),6.43,土地:1建物:1車位:,三層,公寓(5樓含以下無電梯),住家用,17.1,2.0,1.0,1.0,有,無,1280,否,,0.0,無,1,1,5
買賣,萬華區,房地(土地+建物)+車位,16.39,土地:2建物:1車位:2,五層,華廈(10層含以下有電梯),住家用,58.87,3.0,2.0,2.0,有,有,3500,是,一樓平面2,0.0,有,0,2,6
預售屋,大安區,房地(土地+建物)+車位,6.6,土地:19建物:1車位:2,二十八層,住宅大樓(11層含以上有電梯),住家用,91.0,4.0,2.0,2.0,有,,15638,否,坡道平面2,21.65,,1,3,9
買賣,大安區,房地(土地+建物),5.95,土地:1建物:1車位:,二層,華廈(10層含以下有電梯),住家用,31.24,3.0,2.0,1.0,有,有,2688,否,,0.0,有,1,2,14
預售屋,文山區,房地(土地+建物)+車位,9.42,土地:2建物:1車位:1,十六層,住宅大樓(11層含以上有電梯),住家用,65.52,3.0,2.0,3.0,有,,6227,否,坡道平面1,7.5,,0,2,3
買賣,內湖區,房地(土地+建物)+車位,16.28,土地:3建物:1車位:1,"十三層,十四層",大樓(11層含以上有電梯),住家用,64.73,,,,無,有,5500,是,坡道平面1,11.04,有,0,0,3
買賣,萬華區,房地(土地+建物),6.61,土地:1建物:1車位:,五層,華廈(10層含以下有電梯),住家用,32.62,3.0,2.0,2.0,有,無,1480,否,,0.0,有,0,3,5
買賣,中山區,房地(土地+建物),9.0,土地:1建物:1車位:,二層,公寓(5樓含以下無電梯),住家用,22.89,3.0,2.0,1.0,有,無,1630,否,,0.0,無,0,5,9
預售屋,北投區,房地(土地+建物)+車位,24.43,土地:1建物:1車位:5,十三層,辦公商業大樓,商業用,213.49,,,,無,,13448,否,坡道平面5,36.01,,0,0,0
預售屋,內湖區,房地(土地+建物)+車位,5.14,土地:6建物:1車位:1,十層,住宅大樓(11層含以上有電梯),住家用,49.2,3.0,2.0,2.0,有,,4635,否,坡道平面1,11.17,,0,2,2
買賣,萬華區,房地(土地+建物),8.77,土地:1建物:1車位:,三層,公寓(5樓含以下無電梯),住家用,26.67,3.0,2.0,2.0,有,無,1080,否,,0.0,無,0,0,1
買賣,信義區,房地(土地+建物),5.29,土地:3建物:1車位:,三層,大樓(11層含以上有電梯),見其他登記事項,26.44,2.0,2.0,1.0,有,有,2588,否,,0.0,有,0,4,7
買賣,大安區,房地(土地+建物),2.77,土地:1建物:1車位:,五層,華廈(10層含以下有電梯),住家用,11.79,1.0,1.0,1.0,有,有,700,否,,0.0,有,0,6,16
買賣,松山區,房地(土地+建物),11.34,土地:1建物:1車位:,"一層,平台",公寓(5樓含以下無電梯),住家用,32.63,3.0,2.0,2.0,有,無,1198,否,,0.0,無,0,2,4
買賣,內湖區,房地(土地+建物),4.63,土地:1建物:1車位:,四層,華廈(10層含以下有電梯),住家用,16.48,1.0,1.0,1.0,有,有,1303,否,,0.0,有,0,2,2
買賣,中山區,房地(土地+建物)+車位,5.31,土地:1建物:1車位:1,五層,華廈(10層含以下有電梯),見其他登記事項,28.31,2.0,1.0,2.0,有,有,2180,是,升降機械1,3.89,有,0,7,16
預售屋,大安區,房地(土地+建物),2.24,土地:19建物:1車位:,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,25.76,0.0,0.0,1.0,有,,4610,否,,0.0,,1,3,9
預售屋,內湖區,房地(土地+建物)+車位,5.14,土地:6建物:1車位:1,十一層,住宅大樓(11層含以上有電梯),住家用,49.2,3.0,2.0,2.0,有,,4665,否,坡道平面1,11.17,,0,2,2
預售屋,大安區,房地(土地+建物),2.57,土地:19建物:1車位:,三十一層,住宅大樓(11層含以上有電梯),住家用,29.69,2.0,2.0,1.0,有,,6438,否,,0.0,,1,3,9
預售屋,大安區,房地(土地+建物),3.16,土地:19建物:1車位:,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,36.43,0.0,0.0,1.0,有,,6618,否,,0.0,,1,3,9
買賣,內湖區,房地(土地+建物),3.7,土地:1建物:1車位:,九層,大樓(11層含以上有電梯),商業用,39.55,4.0,2.0,2.0,有,有,2610,否,,0.0,有,1,2,3
預售屋,北投區,房地(土地+建物)+車位,8.34,土地:1建物:1車位:1,十層,住宅大樓(11層含以上有電梯),住家用,54.63,3.0,2.0,2.0,有,,5798,否,坡道平面1,7.87,,0,0,0
買賣,內湖區,房地(土地+建物),13.31,土地:1建物:1車位:,"二層,陽台",公寓(5樓含以下無電梯),工業用,31.44,0.0,1.0,2.0,有,無,1460,否,,0.0,無,0,1,3
買賣,萬華區,房地(土地+建物),7.57,土地:1建物:1車位:,七層,大樓(11層含以上有電梯),見其他登記事項,45.49,3.0,2.0,2.0,有,有,3728,否,,0.0,有,2,3,6
買賣,萬華區,房地(土地+建物),11.53,土地:2建物:1車位:,"一層,騎樓",公寓(5樓含以下無電梯),見使用執照,41.46,0.0,2.0,2.0,有,無,2698,否,,0.0,無,0,1,2
買賣,內湖區,房地(土地+建物)+車位,9.64,土地:1建物:3車位:2,六層,華廈(10層含以下有電梯),住家用,96.97,3.0,2.0,2.0,有,有,5058,是,"坡道平面1,塔式車位1",0.0,有,0,0,2
買賣,大安區,房地(土地+建物),2.51,土地:2建物:1車位:,"八層,陽臺",大樓(11層含以上有電梯),住家用,17.34,1.0,1.0,1.0,有,有,1682,否,,0.0,有,4,4,18
預售屋,內湖區,房地(土地+建物)+車位,5.36,土地:6建物:1車位:1,十層,住宅大樓(11層含以上有電梯),住家用,50.81,3.0,2.0,2.0,有,,4777,否,坡道平面1,11.17,,0,2,2
買賣,大安區,房地(土地+建物)+車位,30.71,土地:1建物:3車位:3,五層,大樓(11層含以上有電梯),商業用,356.42,,,,無,有,30627,是,坡道平面3,0.0,有,4,11,16
買賣,中山區,房地(土地+建物)+車位,1.19,土地:1建物:1車位:1,五層,大樓(11層含以上有電梯),住家用,15.42,1.0,2.0,1.0,有,有,1540,否,塔式車位1,2.74,有,2,8,17
預售屋,大安區,房地(土地+建物)+車位,3.77,土地:2建物:1車位:2,十一層,住宅大樓(11層含以上有電梯),住家用,48.02,,,,無,,5757,否,其他2,13.77,,1,2,8
買賣,大安區,房地(土地+建物),8.19,土地:1建物:1車位:,三層,華廈(10層含以下有電梯),住家用,30.06,1.0,1.0,1.0,有,有,2520,否,,0.0,有,3,5,16
買賣,松山區,房地(土地+建物)+車位,5.2,土地:1建物:1車位:1,八層,華廈(10層含以下有電梯),見其他登記事項,30.6,2.0,1.0,1.0,有,無,3000,否,升降機械1,4.34,有,2,4,12
買賣,松山區,房地(土地+建物)+車位,7.44,土地:1建物:1車位:1,九層,華廈(10層含以下有電梯),見其他登記事項,41.94,3.0,2.0,2.0,有,無,4386,否,升降機械1,4.34,有,2,4,12
預售屋,大安區,房地(土地+建物)+車位,2.99,土地:19建物:1車位:1,一層,店面(店鋪),見其他登記事項,36.34,0.0,0.0,1.0,有,,5180,否,坡道平面1,10.83,,1,3,9
預售屋,文山區,房地(土地+建物)+車位,5.98,土地:26建物:1車位:1,九層,住宅大樓(11層含以上有電梯),見其他登記事項,48.11,3.0,2.0,2.0,有,,3925,否,坡道平面1,9.92,,0,0,2
買賣,文山區,車位,0.01,土地:1建物:1車位:1,"一層,二層,三層,四層,五層,六層,七層,屋頂突出物,地下一層",,共有部分,2.55,,,,無,有,70,-,升降機械1,2.55,有,0,0,2
買賣,大同區,房地(土地+建物),3.29,土地:3建物:1車位:,二層,公寓(5樓含以下無電梯),住家用,9.73,,,,無,無,550,否,,0.0,無,0,1,5
買賣,中山區,房地(土地+建物),1.74,土地:1建物:1車位:,六層,華廈(10層含以下有電梯),商業用,9.27,2.0,1.0,1.0,有,有,760,否,,0.0,有,3,11,15
買賣,大安區,房地(土地+建物)+車位,4.55,土地:1建物:1車位:1,七層,華廈(10層含以下有電梯),住家用,31.25,1.0,2.0,1.0,有,有,3100,否,塔式車位1,4.69,有,0,6,13
買賣,萬華區,房地(土地+建物),2.1,土地:1建物:1車位:,五層,大樓(11層含以上有電梯),住家用,28.5,2.0,2.0,1.0,有,有,2400,否,,0.0,有,0,3,8
買賣,萬華區,房地(土地+建物),1.01,土地:3建物:1車位:,六層,華廈(10層含以下有電梯),商業用,8.92,1.0,0.0,1.0,有,有,460,否,,0.0,有,0,3,8
買賣,文山區,車位,0.04,土地:1建物:1車位:1,"一層,騎樓",,見其他登記事項,0.52,,,,無,有,68,-,塔式車位1,0.52,有,1,3,4
買賣,文山區,房地(土地+建物)+車位,10.31,土地:1建物:1車位:1,一層,華廈(10層含以下有電梯),住家用,48.15,4.0,2.0,2.0,有,有,3150,是,升降平面1,4.53,有,0,0,0
預售屋,大安區,房地(土地+建物)+車位,3.78,土地:2建物:1車位:1,十一層,住宅大樓(11層含以上有電梯),住家用,40.73,,,,無,,5520,否,其他1,6.88,,1,2,8
買賣,內湖區,房地(土地+建物),11.45,土地:1建物:1車位:,一層,公寓(5樓含以下無電梯),住家用,29.56,3.0,2.0,1.0,有,無,2225,否,,0.0,無,2,2,3
預售屋,文山區,房地(土地+建物)+車位,3.99,土地:2建物:1車位:1,二十一層,住宅大樓(11層含以上有電梯),住家用,31.52,2.0,2.0,2.0,有,,2933,否,坡道平面1,6.91,,0,2,3
買賣,大安區,房地(土地+建物),1.84,土地:1建物:1車位:,十層,大樓(11層含以上有電梯),商業用,19.23,1.0,1.0,0.0,有,有,2116,否,,0.0,有,1,6,13
預售屋,內湖區,房地(土地+建物)+車位,5.14,土地:6建物:1車位:1,八層,住宅大樓(11層含以上有電梯),住家用,49.2,3.0,2.0,2.0,有,,4564,否,坡道平面1,11.17,,0,2,2
買賣,內湖區,房地(土地+建物),9.73,土地:1建物:1車位:,二層,公寓(5樓含以下無電梯),住家用,42.38,4.0,2.0,2.0,有,無,1970,否,,0.0,無,1,2,3
買賣,大安區,房地(土地+建物),3.14,土地:1建物:1車位:,十二層,大樓(11層含以上有電梯),住家用,24.33,5.0,2.0,2.0,有,有,1200,否,,0.0,有,3,10,15
預售屋,大安區,房地(土地+建物),3.19,土地:19建物:1車位:,七層,住宅大樓(11層含以上有電梯),見其他登記事項,36.77,0.0,0.0,1.0,有,,6378,否,,0.0,,1,3,9
預售屋,松山區,房地(土地+建物),3.36,土地:3建物:1車位:0,二層,華廈(10層含以下有電梯),住家用,17.01,2.0,1.0,1.0,有,,2065,否,,0.0,,0,1,3
買賣,士林區,房地(土地+建物),8.02,土地:1建物:1車位:,三層,公寓(5樓含以下無電梯),住家用,20.08,3.0,1.0,1.0,有,無,1111,否,,0.0,無,0,0,0
買賣,中山區,房地(土地+建物),2.21,土地:1建物:1車位:,十二層,大樓(11層含以上有電梯),住家用,20.81,1.0,1.0,1.0,有,有,1950,否,,0.0,有,0,10,19
預售屋,內湖區,房地(土地+建物)+車位,4.91,土地:6建物:1車位:1,九層,住宅大樓(11層含以上有電梯),住家用,47.53,3.0,2.0,2.0,有,,4343,否,坡道平面1,11.17,,0,2,2
買賣,信義區,房地(土地+建物),9.34,土地:1建物:1車位:,九層,大樓(11層含以上有電梯),住家用,45.58,3.0,2.0,2.0,有,有,2900,否,,0.0,有,0,0,2
買賣,內湖區,房地(土地+建物)+車位,26.0,土地:1建物:1車位:3,"一層,二層,三層,四層,五層,六層,七層,八層,屋頂突出物,地下一層,地下二層,地下三層",華廈(10層含以下有電梯),見其他登記事項,157.15,3.0,2.0,0.0,有,有,7900,否,坡道平面3,35.12,有,0,2,3
預售屋,內湖區,房地(土地+建物)+車位,5.36,土地:6建物:1車位:2,十三層,住宅大樓(11層含以上有電梯),住家用,61.98,3.0,2.0,2.0,有,,5152,否,坡道平面2,22.34,,0,2,2
預售屋,內湖區,房地(土地+建物)+車位,4.91,土地:6建物:1車位:1,十層,住宅大樓(11層含以上有電梯),住家用,47.53,3.0,2.0,2.0,有,,4382,否,坡道平面1,11.17,,0,2,2
買賣,中正區,房地(土地+建物),1.8,土地:2建物:1車位:,五層,大樓(11層含以上有電梯),見其他登記事項,18.35,1.0,1.0,1.0,有,有,2550,否,,0.0,有,2,5,8
買賣,內湖區,房地(土地+建物)+車位,17.38,土地:1建物:1車位:1,二層,華廈(10層含以下有電梯),住家用,44.98,3.0,2.0,2.0,有,有,3088,否,坡道平面1,12.54,有,0,1,1
買賣,中山區,房地(土地+建物),1.83,土地:1建物:1車位:,五層,大樓(11層含以上有電梯),住家用,15.74,1.0,1.0,1.0,有,有,1180,否,,0.0,有,0,9,15
預售屋,大同區,房地(土地+建物)+車位,4.37,土地:5建物:1車位:1,十一層,住宅大樓(11層含以上有電梯),住家用,49.68,3.0,2.0,2.0,有,,4420,否,坡道平面1,12.71,,1,4,8
預售屋,內湖區,房地(土地+建物)+車位,5.36,土地:6建物:1車位:1,十四層,住宅大樓(11層含以上有電梯),住家用,50.81,3.0,2.0,2.0,有,,4934,否,坡道平面1,11.17,,0,2,2
買賣,中山區,車位,0.02,土地:1建物:1車位:1,"一層,二層,三層,四層,五層,六層,七層,八層,九層,十層,十一層,十二層,屋頂突出物,騎樓,地下一層,地下二層",,見其他登記事項,6.32,,,,無,有,68,-,其他1,0.0,有,3,7,13
買賣,北投區,房地(土地+建物)+車位,6.13,土地:1建物:1車位:1,六層,華廈(10層含以下有電梯),住家用,34.0,2.0,2.0,1.0,有,有,2380,是,坡道機械1,8.51,有,0,2,3
預售屋,中山區,房地(土地+建物)+車位,3.23,土地:7建物:1車位:1,七層,住宅大樓(11層含以上有電梯),住家用,43.34,3.0,2.0,2.0,有,,4910,否,坡道平面1,9.23,,1,4,13
買賣,內湖區,房地(土地+建物),10.65,土地:1建物:1車位:,二層,公寓(5樓含以下無電梯),住家用,32.7,3.0,2.0,2.0,有,無,1750,否,,0.0,無,0,0,1
買賣,士林區,房地(土地+建物)+車位,12.73,土地:1建物:1車位:2,十三層,大樓(11層含以上有電梯),見其他登記事項,91.9,4.0,2.0,3.0,有,有,5570,否,坡道平面2,15.43,有,1,2,2
買賣,松山區,房地(土地+建物)+車位,1.91,土地:1建物:1車位:1,四層,大樓(11層含以上有電梯),見其他登記事項,21.74,2.0,2.0,1.0,有,有,2450,否,坡道機械1,4.29,有,1,2,4
買賣,中山區,房地(土地+建物)+車位,18.52,土地:1建物:1車位:1,五層,華廈(10層含以下有電梯),住家用,52.78,3.0,2.0,2.0,有,有,3784,是,坡道平面1,0.0,有,0,2,3
預售屋,大安區,房地(土地+建物)+車位,3.99,土地:19建物:1車位:1,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,55.0,0.0,0.0,1.0,有,,8324,否,坡道平面1,10.83,,1,3,9
買賣,內湖區,房地(土地+建物),11.74,土地:1建物:1車位:,五層,華廈(10層含以下有電梯),住家用,35.99,3.0,2.0,2.0,有,有,2708,否,,0.0,有,2,2,2
預售屋,大安區,房地(土地+建物)+車位,3.32,土地:26建物:1車位:1,四層,住宅大樓(11層含以上有電梯),住家用,44.56,2.0,2.0,2.0,有,,5345,否,坡道平面1,11.08,,3,12,18
買賣,中山區,房地(土地+建物),2.8,土地:1建物:1車位:,七層,大樓(11層含以上有電梯),住家用,22.21,3.0,2.0,1.0,有,有,1730,否,,0.0,有,1,5,12
買賣,內湖區,房地(土地+建物),9.41,土地:1建物:1車位:,一層,公寓(5樓含以下無電梯),住家用,28.98,3.0,2.0,2.0,有,無,1760,否,,0.0,無,0,1,3
買賣,松山區,房地(土地+建物),1.45,土地:2建物:1車位:,"一層,騎樓",華廈(10層含以下有電梯),見使用執照,11.99,0.0,1.0,1.0,有,有,1780,否,,0.0,有,2,8,16
預售屋,大安區,房地(土地+建物),2.57,土地:19建物:1車位:,二十二層,住宅大樓(11層含以上有電梯),住家用,29.69,2.0,2.0,1.0,有,,5999,否,,0.0,,1,3,9
預售屋,內湖區,房地(土地+建物)+車位,3.66,土地:6建物:1車位:1,十三層,住宅大樓(11層含以上有電梯),住家用,38.24,2.0,2.0,1.0,有,,3523,否,坡道平面1,11.17,,0,2,2
買賣,內湖區,房地(土地+建物),5.17,土地:1建物:1車位:,"一層,二層",大樓(11層含以上有電梯),商業用,19.01,1.0,2.0,1.0,有,有,1928,否,,0.0,有,0,1,2
買賣,內湖區,房地(土地+建物),2.28,土地:1建物:1車位:,十二層,大樓(11層含以上有電梯),住家用,16.65,1.0,1.0,1.0,有,有,1950,否,,0.0,有,0,3,3
買賣,大同區,房地(土地+建物),1.64,土地:1建物:1車位:,十三層,大樓(11層含以上有電梯),見其他登記事項,14.76,0.0,2.0,1.0,有,有,1788,否,,0.0,有,4,7,16
預售屋,大安區,房地(土地+建物)+車位,3.95,土地:19建物:1車位:1,二十九層,住宅大樓(11層含以上有電梯),住家用,54.6,3.0,2.0,2.0,有,,9888,否,坡道平面1,10.83,,1,3,9
買賣,士林區,房地(土地+建物),2.73,土地:5建物:1車位:,三層,公寓(5樓含以下無電梯),住家用,9.33,3.0,2.0,1.0,有,無,467,否,,0.0,無,0,0,0
買賣,大安區,房地(土地+建物),11.31,土地:5建物:1車位:,五層,公寓(5樓含以下無電梯),住家用,44.46,3.0,2.0,2.0,有,有,3990,否,,0.0,無,1,4,13
買賣,大安區,房地(土地+建物)+車位,13.46,土地:1建物:1車位:1,"五層,夾層",華廈(10層含以下有電梯),住家用,64.63,4.0,3.0,2.0,有,有,6588,是,其他1,0.0,有,1,3,9
買賣,內湖區,房地(土地+建物)+車位,30.33,土地:1建物:2車位:2,九層,華廈(10層含以下有電梯),工業用,168.38,,,,無,有,10330,否,坡道平面2,20.82,有,2,2,3
買賣,中山區,車位,0.09,土地:1建物:1車位:1,"一層,地下一層,地下二層,地下三層,地下四層,地下五層,地下六層",,見其他登記事項,10.08,,,,無,有,260,-,坡道平面1,10.08,有,0,9,12
買賣,北投區,房地(土地+建物)+車位,14.38,土地:1建物:1車位:1,四層,大樓(11層含以上有電梯),見其他登記事項,57.74,3.0,2.0,2.0,有,有,2000,是,坡道平面1,13.23,有,1,2,4
買賣,北投區,房地(土地+建物),2.97,土地:1建物:1車位:,二層,華廈(10層含以下有電梯),住家用,11.93,1.0,1.0,1.0,有,有,1180,否,,0.0,有,0,0,1
買賣,中山區,房地(土地+建物)+車位,9.73,土地:1建物:1車位:1,四層,大樓(11層含以上有電梯),住家用,55.6,3.0,2.0,3.0,有,有,5400,是,坡道平面1,0.0,有,2,2,2
買賣,北投區,房地(土地+建物),9.15,土地:1建物:1車位:,四層,公寓(5樓含以下無電梯),住家用,34.4,3.0,2.0,1.0,有,無,1400,否,,0.0,無,1,1,1
買賣,中山區,房地(土地+建物),0.67,土地:1建物:1車位:,八層,大樓(11層含以上有電梯),住商用,8.04,1.0,1.0,1.0,有,有,540,否,,0.0,有,0,9,12
買賣,大安區,房地(土地+建物),4.99,土地:1建物:1車位:,"一層,騎樓,地下層",公寓(5樓含以下無電梯),,23.41,,,,無,無,2200,否,,0.0,無,2,7,8
買賣,內湖區,房地(土地+建物),8.21,土地:1建物:1車位:,四層,大樓(11層含以上有電梯),住家用,35.75,3.0,2.0,2.0,有,有,2860,否,,0.0,有,2,2,3
預售屋,北投區,房地(土地+建物)+車位,8.34,土地:1建物:1車位:1,四層,住宅大樓(11層含以上有電梯),住家用,54.63,3.0,2.0,2.0,有,,5582,否,坡道平面1,7.87,,0,0,0
預售屋,松山區,房地(土地+建物),3.36,土地:3建物:1車位:0,四層,華廈(10層含以下有電梯),住家用,17.01,2.0,1.0,1.0,有,,2155,否,,0.0,,0,1,3
預售屋,內湖區,房地(土地+建物),3.66,土地:6建物:1車位:,九層,住宅大樓(11層含以上有電梯),住家用,27.07,2.0,2.0,1.0,有,,3097,否,,0.0,,0,2,2
買賣,中山區,房地(土地+建物),2.03,土地:2建物:1車位:,一層,華廈(10層含以下有電梯),見其他登記事項,7.43,2.0,1.0,1.0,有,有,1480,否,,0.0,有,0,7,12
買賣,士林區,房地(土地+建物),6.3,土地:1建物:1車位:,三層,大樓(11層含以上有電梯),見其他登記事項,38.03,3.0,2.0,2.0,有,有,3188,否,,0.0,有,0,0,0
買賣,大安區,房地(土地+建物),4.28,土地:1建物:1車位:,三層,華廈(10層含以下有電梯),住家用,12.71,1.0,1.0,1.0,有,無,1210,否,,0.0,有,0,2,10
預售屋,萬華區,房地(土地+建物)+車位,3.51,土地:34建物:1車位:1,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,38.59,2.0,2.0,2.0,有,,2550,否,坡道平面1,13.66,,0,1,1
買賣,松山區,房地(土地+建物)+車位,3.93,土地:1建物:1車位:1,六層,大樓(11層含以上有電梯),見其他登記事項,55.25,2.0,2.0,2.0,有,有,6300,否,坡道平面1,11.96,有,2,3,11
買賣,大同區,房地(土地+建物)+車位,6.68,土地:1建物:1車位:2,二層,大樓(11層含以上有電梯),住家用,101.54,4.0,1.0,2.0,有,有,2000,是,坡道平面2,22.88,有,0,9,11
預售屋,信義區,房地(土地+建物),1.53,土地:4建物:1車位:,五層,住宅大樓(11層含以上有電梯),見其他登記事項,21.43,2.0,2.0,1.0,有,,3200,否,,0.0,,1,3,6
預售屋,大安區,房地(土地+建物)+車位,4.95,土地:2建物:1車位:1,七層,住宅大樓(11層含以上有電梯),住家用,51.5,,,,無,,6674,否,其他1,6.88,,1,2,8
買賣,內湖區,房地(土地+建物),2.84,土地:1建物:1車位:,三層,華廈(10層含以下有電梯),商業用,13.65,1.0,1.0,1.0,有,有,1050,否,,0.0,有,1,2,3
買賣,松山區,房地(土地+建物),14.21,土地:2建物:1車位:,三層,大樓(11層含以上有電梯),見其他登記事項,55.15,4.0,2.0,2.0,有,有,5050,否,,0.0,有,2,3,7
買賣,文山區,房地(土地+建物),10.74,土地:1建物:1車位:,三層,公寓(5樓含以下無電梯),住家用,26.7,3.0,2.0,1.0,有,無,850,否,,0.0,無,0,2,2
